PubCHEM,smiles,inchi
5360373,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,"InChI=1S/C55H83N17O21S3/c1-20-33(69-46(72-44(20)58)25(12-31(57)76)64-13-24(56)45(59)82)50(86)71-35(41(26-14-61-19-65-26)91-54-43(39(80)37(78)29(15-73)90-54)92-53-40(81)42(93-55(60)88)38(79)30(16-74)89-53)51(87)66-22(3)36(77)21(2)47(83)70-34(23(4)75)49(85)63-10-8-32-67-28(18-94-32)52-68-27(17-95-52)48(84)62-9-7-11-96(5)6/h14,17-19,21-25,29-30,34-43,53-54,64,73-75,77-81H,7-13,15-16,56H2,1-6H3,(H13-,57,58,59,60,61,62,63,65,66,69,70,71,72,76,82,83,84,85,86,87,88)/p+1/t21-,22+,23+,24-,25-,29?,30?,34-,35-,36-,37?,38?,39?,40?,41-,42?,43?,53?,54?/m0/s1"
5494449,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,"InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)"
5702198,N.N.Cl[Pt]Cl,InChI=1S/2ClH.2H3N.Pt/h2*1H;2*1H3;/q;;;;+2/p-2
5717801,C1=CC=C(C=C1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3,"InChI=1S/C21H17Cl3N4OS/c22-21(23,24)19(27-17(29)12-11-14-6-2-1-3-7-14)28-20(30)26-16-10-4-8-15-9-5-13-25-18(15)16/h1-13,19H,(H,27,29)(H2,26,28,30)/b12-11+"
6445533,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,"InChI=1S/C22H25N3O3/c26-14-13-25(12-11-19-15-23-21-4-2-1-3-20(19)21)16-18-7-5-17(6-8-18)9-10-22(27)24-28/h1-10,15,23,26,28H,11-14,16H2,(H,24,27)/b10-9+"
6445562,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C,"InChI=1S/C24H23ClFN5O2/c1-4-33-22-12-20-17(11-21(22)30-23(32)6-5-9-31(2)3)24(15(13-27)14-28-20)29-16-7-8-19(26)18(25)10-16/h5-8,10-12,14H,4,9H2,1-3H3,(H,28,29)(H,30,32)/b6-5+"
6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,"InChI=1S/C22H18N4OS/c1-23-22(27)18-7-2-3-8-21(18)28-16-10-11-17-19(25-26-20(17)14-16)12-9-15-6-4-5-13-24-15/h2-14H,1H3,(H,23,27)(H,25,26)/b12-9+"
6505803,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,"InChI=1S/C31H43N3O8/c1-8-12-33-26-21-13-17(2)14-25(41-7)27(36)19(4)15-20(5)29(42-31(32)39)24(40-6)11-9-10-18(3)30(38)34-22(28(21)37)16-23(26)35/h8-11,15-17,19,24-25,27,29,33,36H,1,12-14H2,2-7H3,(H2,32,39)(H,34,38)/b11-9-,18-10+,20-15+/t17-,19+,24+,25+,27-,29+/m1/s1"
6851740,CC1=CC=C(C=C1)C(=O)N(CCCN)[C@@H](C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C,"InChI=1S/C30H33ClN4O2/c1-20(2)27(34(17-7-16-32)29(36)23-12-10-21(3)11-13-23)28-33-26-18-24(31)14-15-25(26)30(37)35(28)19-22-8-5-4-6-9-22/h4-6,8-15,18,20,27H,7,16-17,19,32H2,1-3H3/t27-/m1/s1"
6852167,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO,"InChI=1S/C14H16ClN3O4S2/c1-8-13(23-14(17-8)18-9(2)20)10-3-4-11(15)12(7-10)24(21,22)16-5-6-19/h3-4,7,16,19H,5-6H2,1-2H3,(H,17,18,20)"
6918289,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,"InChI=1S/C56H87NO16/c1-33-17-13-12-14-18-34(2)45(68-9)29-41-22-20-39(7)56(67,73-41)51(63)52(64)57-24-16-15-19-42(57)53(65)71-46(30-43(60)35(3)26-38(6)49(62)50(70-11)48(61)37(5)25-33)36(4)27-40-21-23-44(47(28-40)69-10)72-54(66)55(8,31-58)32-59/h12-14,17-18,26,33,35-37,39-42,44-47,49-50,58-59,62,67H,15-16,19-25,27-32H2,1-11H3/b14-12+,17-13+,34-18+,38-26+/t33-,35-,36-,37-,39-,40+,41+,42+,44-,45+,46+,47-,49-,50+,56-/m1/s1"
6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,"InChI=1S/C17H14ClF2IN2O2/c18-12-7-10(21)3-6-14(12)22-16-11(4-5-13(19)15(16)20)17(24)23-25-8-9-1-2-9/h3-7,9,22H,1-2,8H2,(H,23,24)"
6918848,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,"InChI=1S/C18H20N2O3/c1-12(2)16(13-6-4-3-5-7-13)18(22)19-15-10-8-14(9-11-15)17(21)20-23/h3-12,16,23H,1-2H3,(H,19,22)(H,20,21)/t16-/m0/s1"
7251185,C/C/1=C\CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,"InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/b9-5+/t11-,12-,13+,15+/m0/s1"
9549184,CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=NC=NC(=C4C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)N,"InChI=1S/C34H39N9O3/c1-21(44)41-14-16-42(17-15-41)24-9-11-25(12-10-24)43-33-30(32(35)36-20-37-33)31(39-43)23-8-13-26(29(19-23)46-3)38-34(45)28-18-22-6-4-5-7-27(22)40(28)2/h4-8,13,18-20,24-25H,9-12,14-17H2,1-3H3,(H,38,45)(H2,35,36,37)"
9813758,CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN,"InChI=1S/C14H17N5/c1-9-3-4-11-12(7-9)19-10(2)8-17-14(19)13(18-11)16-6-5-15/h3-4,7-8H,5-6,15H2,1-2H3,(H,16,18)"
9826308,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,"InChI=1S/C22H18F3N3O4S/c1-30-16-7-14-15(8-17(16)31-2)28(11-27-14)19-9-18(20(33-19)21(26)29)32-10-12-5-3-4-6-13(12)22(23,24)25/h3-9,11H,10H2,1-2H3,(H2,26,29)"
9826528,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,"InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1"
9829523,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,"InChI=1S/C35H30N4O4/c1-35-32(42-3)25(37(2)34(41)19-11-5-4-6-12-19)17-26(43-35)38-23-15-9-7-13-20(23)28-29-22(18-36-33(29)40)27-21-14-8-10-16-24(21)39(35)31(27)30(28)38/h4-16,25-26,32H,17-18H2,1-3H3,(H,36,40)/t25-,26-,32-,35+/m1/s1"
9858940,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,"InChI=1S/C20H21N3O2/c1-12-6-5-7-14(21-12)18-17(22-19(23-18)20(2,3)4)13-8-9-15-16(10-13)25-11-24-15/h5-10H,11H2,1-4H3,(H,22,23)"
9863776,C[C@H]1C/C=C\C(=O)[C@H]([C@H](C/C=C/C2=C(C(=CC(=C2)OC)O)C(=O)O1)O)O,"InChI=1S/C19H22O7/c1-11-5-3-7-14(20)18(23)15(21)8-4-6-12-9-13(25-2)10-16(22)17(12)19(24)26-11/h3-4,6-7,9-11,15,18,21-23H,5,8H2,1-2H3/b6-4+,7-3-/t11-,15-,18+/m0/s1"
9868037,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(=O)NC4=CC=C(C=C4)OC(F)(F)F,"InChI=1S/C22H16F3N3O2S/c23-22(24,25)30-16-7-5-15(6-8-16)28-21(29)20-19(10-12-31-20)27-13-14-9-11-26-18-4-2-1-3-17(14)18/h1-12,27H,13H2,(H,28,29)"
9874913,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)/C=C/CNC(=O)COC)C,"InChI=1S/C27H27N5O3/c1-18-13-21(8-11-25(18)35-22-9-6-19(2)29-15-22)32-27-23-14-20(7-10-24(23)30-17-31-27)5-4-12-28-26(33)16-34-3/h4-11,13-15,17H,12,16H2,1-3H3,(H,28,33)(H,30,31,32)/b5-4+"
9903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,"InChI=1S/C12H10FN3O2S/c13-7-3-1-6(2-4-7)9-5-8(10(14)17)11(19-9)16-12(15)18/h1-5H,(H2,14,17)(H3,15,16,18)"
9907093,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4,"InChI=1S/C21H24N4O2/c1-15-12-18(16(2)22-17-6-4-3-5-7-17)21-23-19(13-20(26)25(21)14-15)24-8-10-27-11-9-24/h3-7,12-14,16,22H,8-11H2,1-2H3"
9911830,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,"InChI=1S/C22H19ClN4O5/c1-12-8-21(27-32-12)26-22(28)25-16-5-4-13(9-15(16)23)31-18-6-7-24-17-11-20(30-3)19(29-2)10-14(17)18/h4-11H,1-3H3,(H2,25,26,27,28)"
9914412,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,"InChI=1S/C29H31N5O4/c1-36-26-18-24-25(19-27(26)38-15-5-12-34-13-16-37-17-14-34)30-20-31-28(24)32-22-8-10-23(11-9-22)33-29(35)21-6-3-2-4-7-21/h2-4,6-11,18-20H,5,12-17H2,1H3,(H,33,35)(H,30,31,32)"
9931953,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2.OP(=O)(O)O,"InChI=1S/C19H18FN3O.H3O4P/c1-21-10-11-2-4-12(5-3-11)18-14-6-7-22-19(24)15-8-13(20)9-16(23-18)17(14)15;1-5(2,3)4/h2-5,8-9,21,23H,6-7,10H2,1H3,(H,22,24);(H3,1,2,3,4)"
9938202,C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F.Cl.Cl,"InChI=1S/C25H27F3N2O4S.2ClH/c26-25(27,28)18-4-5-20-21(14-18)29-7-6-24(20)35-13-3-1-2-10-33-23-17-34-19(15-22(23)31)16-30-8-11-32-12-9-30;;/h4-7,14-15,17H,1-3,8-13,16H2;2*1H"
9943465,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O,"InChI=1S/C17H13N3O/c1-20-10-11(12-5-2-3-7-15(12)20)9-13-16-14(19-17(13)21)6-4-8-18-16/h2-10H,1H3,(H,19,21)/b13-9-"
9952773,CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C,"InChI=1S/C24H21N3OS/c1-3-21-27-22(18-11-7-8-16(2)14-18)23(29-21)19-12-13-25-20(15-19)26-24(28)17-9-5-4-6-10-17/h4-15H,3H2,1-2H3,(H,25,26,28)"
9956119,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,"InChI=1S/C22H18Cl2N8/c1-13-10-29-21(31-13)17-12-30-22(32-20(17)16-4-3-15(23)8-18(16)24)27-7-6-26-19-5-2-14(9-25)11-28-19/h2-5,8,10-12H,6-7H2,1H3,(H,26,28)(H,29,31)(H,27,30,32)"
9956222,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)NC(=O)C6=CN=C(C=C6)N,"InChI=1S/C25H21N7O3/c26-19-7-6-16(14-28-19)24(33)29-17-4-1-3-15(13-17)22-30-20-18-5-2-8-27-25(18)35-21(20)23(31-22)32-9-11-34-12-10-32/h1-8,13-14H,9-12H2,(H2,26,28)(H,29,33)"
10027278,C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F,"InChI=1S/C26H19F3N4O/c27-26(28,29)24-14-23(33(32-24)20-10-8-19(9-11-20)31-25(34)15-30)18-7-12-22-17(13-18)6-5-16-3-1-2-4-21(16)22/h1-14H,15,30H2,(H,31,34)"
10074640,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,"InChI=1S/C28H30N6OS/c1-20-5-10-24(16-25(20)31-28-32-26(19-36-28)23-4-3-11-29-17-23)30-27(35)22-8-6-21(7-9-22)18-34-14-12-33(2)13-15-34/h3-11,16-17,19H,12-15,18H2,1-2H3,(H,30,35)(H,31,32)"
10077147,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,"InChI=1S/C23H26IN7O2S/c24-18-15-27-22(30-20(18)25-9-5-10-26-21(32)19-8-4-13-34-19)28-16-6-3-7-17(14-16)29-23(33)31-11-1-2-12-31/h3-4,6-8,13-15H,1-2,5,9-12H2,(H,26,32)(H,29,33)(H2,25,27,28,30)"
10109823,C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4,"InChI=1S/C20H16N6S/c21-12-15(19-25-17-5-1-2-6-18(17)27-19)16-8-11-24-20(26-16)23-10-7-14-4-3-9-22-13-14/h1-6,8-9,11,13,15H,7,10H2,(H,23,24,26)"
10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,"InChI=1S/C21H23N7O2S/c1-13-5-6-15(11-19(13)31(22,29)30)24-21-23-10-9-20(25-21)27(3)16-7-8-17-14(2)28(4)26-18(17)12-16/h5-12H,1-4H3,(H2,22,29,30)(H,23,24,25)"
10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,"InChI=1S/C17H15BrClFN4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)"
10172943,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,"InChI=1S/C24H23N5O/c1-15-22-10-16(6-7-24(22)29-28-15)17-9-20(13-26-11-17)30-14-19(25)8-18-12-27-23-5-3-2-4-21(18)23/h2-7,9-13,19,27H,8,14,25H2,1H3,(H,28,29)/t19-/m0/s1"
10184653,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1"
10200390,COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC,"InChI=1S/C20H18N6O3/c1-28-15-6-5-12(10-16(15)29-2)14-11-17-22-8-9-26(17)20(24-14)25-19-13(18(21)27)4-3-7-23-19/h3-11H,1-2H3,(H2,21,27)(H,23,24,25)"
10302451,CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl,"InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)"
10341154,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,"InChI=1S/C19H12F4N4O2/c20-9-4-5-10(14(23)8-9)16-11(18(24)28)6-7-15(26-16)27(19(25)29)17-12(21)2-1-3-13(17)22/h1-8H,(H2,24,28)(H2,25,29)"
10451420,C1CC1COC\2=CC=CC(=O)/C2=C\3/C=C(C(=C(N3)N)C#N)C4CCNCC4,"InChI=1S/C21H24N4O2/c22-11-16-15(14-6-8-24-9-7-14)10-17(25-21(16)23)20-18(26)2-1-3-19(20)27-12-13-4-5-13/h1-3,10,13-14,24-25H,4-9,12,23H2/b20-17+"
10459196,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,"InChI=1S/C25H24O12/c1-10-21(34-11(2)26)24(35-12(3)27)20(32)25(33-10)37-23-19(31)18-16(30)8-15(29)9-17(18)36-22(23)13-4-6-14(28)7-5-13/h4-10,20-21,24-25,28-30,32H,1-3H3/t10-,20+,21-,24-,25-/m0/s1"
10461815,CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O,"InChI=1S/C32H34Cl2N4O4S/c1-19-29(35-20(2)30(19)32(40)38-14-6-7-21(38)17-37-12-3-4-13-37)16-24-23-15-22(10-11-28(23)36-31(24)39)43(41,42)18-25-26(33)8-5-9-27(25)34/h5,8-11,15-16,21,35H,3-4,6-7,12-14,17-18H2,1-2H3,(H,36,39)/b24-16-/t21-/m1/s1"
11152667,C1C[C@@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,"InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m0/s1"
11178236,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],"InChI=1S/C20H19N4O3.BrH/c1-13-23(9-10-27-2)17-18(24(13)12-14-11-21-7-8-22-14)20(26)16-6-4-3-5-15(16)19(17)25;/h3-8,11H,9-10,12H2,1-2H3;1H/q+1;/p-1"
11282283,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,"InChI=1S/C23H21N5O3S/c32-23(24-12-15-5-6-18-19(11-15)30-14-29-18)28-9-7-27(8-10-28)22-21-20(25-13-26-22)16-3-1-2-4-17(16)31-21/h1-6,11,13H,7-10,12,14H2,(H,24,32)"
11327430,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,"InChI=1S/C25H19NO3S/c27-21-15-23(26-11-13-28-14-12-26)29-24-17(6-3-9-20(21)24)19-8-4-7-18-16-5-1-2-10-22(16)30-25(18)19/h1-10,15H,11-14H2"
11338033,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,"InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)"
11364421,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,"InChI=1S/C28H39N7O3/c1-5-22-27(37)34(3)23-17-29-28(32-25(23)35(22)20-8-6-7-9-20)31-21-11-10-18(16-24(21)38-4)26(36)30-19-12-14-33(2)15-13-19/h10-11,16-17,19-20,22H,5-9,12-15H2,1-4H3,(H,30,36)(H,29,31,32)/t22-/m1/s1"
11373846,CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,"InChI=1S/C21H16F4N4O2/c1-10-19(20(31)28-17-6-12-9-26-29-16(12)8-15(17)22)14(7-18(30)27-10)11-2-4-13(5-3-11)21(23,24)25/h2-6,8-9,14H,7H2,1H3,(H,26,29)(H,27,30)(H,28,31)"
11433190,CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,"InChI=1S/C30H30Cl2N4O4/c1-18(2)40-25-16-23(39-3)12-13-24(25)29-34-27(19-4-8-21(31)9-5-19)28(20-6-10-22(32)11-7-20)36(29)30(38)35-15-14-33-26(37)17-35/h4-13,16,18,27-28H,14-15,17H2,1-3H3,(H,33,37)/t27-,28+/m0/s1"
11455910,CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C,"InChI=1S/C33H35NO6S/c1-20(2)25-11-7-6-10-21(25)18-22-19-26(30(36)31(37)29(22)35)32(38)34-23-14-16-24(17-15-23)41(39,40)28-13-9-8-12-27(28)33(3,4)5/h6-17,19-20,35-37H,18H2,1-5H3,(H,34,38)"
11467730,CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)(C)C)C(=O)N4CCN(CC4)C(=O)C)OC,"InChI=1S/C32H41N5O4S2/c1-20-16-26(41-7)25(30(40)37-14-12-36(13-15-37)22(3)38)17-27(20)42-28-19-34-31(43-28)35-29(39)24-10-8-23(9-11-24)18-33-21(2)32(4,5)6/h8-11,16-17,19,21,33H,12-15,18H2,1-7H3,(H,34,35,39)"
11485656,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,"InChI=1S/C21H18FN5O/c1-12-5-10-16(22)18(11-12)25-21(28)24-14-8-6-13(7-9-14)15-3-2-4-17-19(15)20(23)27-26-17/h2-11H,1H3,(H3,23,26,27)(H2,24,25,28)"
11493598,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,"InChI=1S/C18H13N7/c19-17-12-10-13(20-22-18(12)23-21-17)15-14-8-4-5-9-25(14)24-16(15)11-6-2-1-3-7-11/h1-10H,(H3,19,21,22,23)"
11507964,C[C@H](C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N.Cl,"InChI=1S/C16H16N4O.ClH/c1-10(17)11-2-4-12(5-3-11)16(21)20-14-7-9-19-15-13(14)6-8-18-15;/h2-10H,17H2,1H3,(H2,18,19,20,21);1H/t10-;/m1./s1"
11609586,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,"InChI=1S/C21H20N4/c1-2-4-21-20(3-1)16(15-24-21)9-14-23-17-5-7-18(8-6-17)25-19-10-12-22-13-11-19/h1-8,10-13,15,23-24H,9,14H2,(H,22,25)"
11617559,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,"InChI=1S/C20H22N4O3/c1-25-16-6-3-13(4-7-16)12-27-17-8-5-14(10-18(17)26-2)9-15-11-23-20(22)24-19(15)21/h3-8,10-11H,9,12H2,1-2H3,(H4,21,22,23,24)"
11624601,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,"InChI=1S/C18H20N4O4/c1-4-26-18-13(10-19)14(20)9-16(22-18)21-17(23)8-11-7-12(24-2)5-6-15(11)25-3/h5-7,9H,4,8H2,1-3H3,(H3,20,21,22,23)"
11625818,CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,"InChI=1S/C22H18FN7O/c1-2-15(28-20-18-19(25-11-24-18)26-12-27-20)21-29-16-10-6-9-14(23)17(16)22(31)30(21)13-7-4-3-5-8-13/h3-12,15H,2H2,1H3,(H2,24,25,26,27,28)/t15-/m0/s1"
11626560,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,"InChI=1S/C21H22Cl2FN5O/c1-12(19-16(22)2-3-17(24)20(19)23)30-18-8-13(9-27-21(18)25)14-10-28-29(11-14)15-4-6-26-7-5-15/h2-3,8-12,15,26H,4-7H2,1H3,(H2,25,27)/t12-/m1/s1"
11626927,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC,"InChI=1S/C22H19N3O5S2/c1-28-17-8-15-16(9-18(17)29-2)25(13-24-15)22-10-19(20(11-23)31-22)30-12-14-6-4-5-7-21(14)32(3,26)27/h4-10,13H,12H2,1-3H3"
11634725,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl,"InChI=1S/C24H20Cl2FN5O2/c1-13-10-29-24(31-19-6-5-17(27)9-18(19)26)32-22(13)15-8-20(28-11-15)23(34)30-21(12-33)14-3-2-4-16(25)7-14/h2-11,21,28,33H,12H2,1H3,(H,30,34)(H,29,31,32)/t21-/m1/s1"
11640390,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,"InChI=1S/C26H23N5O/c1-26(32)14-19(15-26)25-30-22(23-24(27)28-11-12-31(23)25)18-8-7-17-9-10-20(29-21(17)13-18)16-5-3-2-4-6-16/h2-13,19,32H,14-15H2,1H3,(H2,27,28)"
